time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
1.3833333,0.046680134,0.5429526,0.39266148,0.01765636,4.9363996e-05,8.581174e-09,9.274899e-14,6.233021e-20,2.6044331e-27,6.7664186e-36,0.99999994
1.4,0.043771,0.53323984,0.4039106,0.019022804,5.5704528e-05,1.0142211e-08,1.1481602e-13,8.0815746e-20,3.536888e-27,9.624268e-36,1.0
1.4166666,0.041011035,0.5232907,0.4151565,0.02047893,6.280993e-05,1.19778e-08,1.4202077e-13,1.04701646e-19,4.7993192e-27,1.3678445e-35,1.0
1.4333333,0.03839496,0.51312435,0.4263808,0.022029217,7.076646e-05,1.4134546e-08,1.7553515e-13,1.3554099e-19,6.507399e-27,1.9425193e-35,1.0000001
1.45,0.035917476,0.50276,0.43756455,0.023678267,7.966817e-05,1.6666524e-08,2.16786e-13,1.7532558e-19,8.8162625e-27,2.7564688e-35,0.99999994
1.4666667,0.033573467,0.49221766,0.44868845,0.025430743,8.961894e-05,1.9636593e-08,2.6752217e-13,2.266115e-19,1.1935169e-26,3.9084048e-35,0.99999994
1.4833333,0.031357728,0.48151723,0.45973292,0.027291406,0.000100733225,2.31178e-08,3.2987296e-13,2.92667e-19,1.6144558e-26,5.5374244e-35,1.0
1.5,0.029265137,0.4706783,0.4706783,0.029265137,0.000113136724,2.7194648e-08,4.064342e-13,3.7767994e-19,2.1821285e-26,7.8391876e-35,1.0
1.5166667,0.02729069,0.45972088,0.4815046,0.031356905,0.00012696737,3.1965282e-08,5.003678e-13,4.8699793e-19,2.947096e-26,1.1088747e-34,1.0
1.5333333,0.0254294,0.44866475,0.49219167,0.033571694,0.0001423765,3.7543167e-08,6.1552987e-13,6.274731e-19,3.9770832e-26,1.5673476e-34,0.99999994
1.55,0.023676377,0.4375296,0.5027198,0.035914607,0.00015953032,4.4059615e-08,7.5660154e-13,8.0782645e-19,5.3628835e-26,2.2136026e-34,0.99999994
1.5666667,0.02202684,0.42633477,0.5130689,0.03839082,0.00017860977,5.166648e-08,9.292663e-13,1.0391964e-18,7.225707e-26,3.123866e-34,0.99999994
1.5833334,0.020476123,0.4150996,0.523219,0.041005414,0.00019981399,6.053917e-08,1.1404431e-12,1.3357933e-18,9.7281285e-26,4.4049787e-34,1.0
1.6,0.019019613,0.40384287,0.53315043,0.04376366,0.00022335917,7.087949e-08,1.3985058e-12,1.7156673e-18,1.3086762e-25,6.2066056e-34,1.0
1.6166667,0.017652825,0.39258286,0.5428439,0.046670787,0.00024948362,8.292121e-08,1.7136251e-12,2.2018766e-18,1.759116e-25,8.738303e-34,0.99999994
1.6333333,0.016371429,0.38133773,0.55228037,0.049732003,0.0002784445,9.693212e-08,2.0980858e-12,2.8236083e-18,2.362735e-25,1.229278e-33,1.0000001
1.65,0.01517116,0.37012473,0.56144094,0.052952513,0.00031052466,1.1322224e-07,2.566813e-12,3.6181194e-18,3.1710093e-25,1.7279982e-33,1.0
1.6666666,0.014047894,0.35896075,0.5703076,0.056337554,0.0003460292,1.3214597e-07,3.1377778e-12,4.6325378e-18,4.252452e-25,2.4270807e-33,1.0
1.6833333,0.012997659,0.34786206,0.57886255,0.059892226,0.00038529394,1.541132e-07,3.832783e-12,5.9267532e-18,5.698247e-25,3.4064353e-33,0.99999994
1.7,0.012016579,0.33684412,0.58708876,0.06362166,0.00042867986,1.795923e-07,4.678074e-12,7.576617e-18,7.629696e-25,4.7771822e-33,0.99999994
1.7166667,0.011100925,0.32592204,0.5949694,0.06753083,0.00047658046,2.0912076e-07,5.7053806e-12,9.678254e-18,1.02079745e-24,6.6942706e-33,0.99999994
1.7333333,0.010247107,0.31510976,0.6024888,0.07162469,0.0005294229,2.4331558e-07,6.952875e-12,1.2353382e-17,1.3646801e-24,9.373574e-33,1.0
1.75,0.009451645,0.3044207,0.60963166,0.075907975,0.0005876708,2.8288284e-07,8.466549e-12,1.5755461e-17,1.8230008e-24,1.3114808e-32,0.9999999
1.7666667,0.008711208,0.2938675,0.61638373,0.080385394,0.00065182324,3.2863116e-07,1.0301799e-11,2.0079141e-17,2.4333334e-24,1.8335417e-32,0.99999994
1.7833333,0.008022605,0.283462,0.6227311,0.08506148,0.0007224232,3.814844e-07,1.25253115e-11,2.5569885e-17,3.2455818e-24,2.5614304e-32,1.0
1.8,0.0073827673,0.2732151,0.6286612,0.08994047,0.00080005586,4.42499e-07,1.5217069e-11,3.25369e-17,4.325594e-24,3.5755655e-32,1.0000001
1.8166667,0.0067887544,0.26313692,0.63416183,0.09502655,0.00088535214,5.128779e-07,1.847306e-11,4.1370403e-17,5.7605873e-24,4.9873304e-32,0.9999999
1.8333334,0.0062377662,0.253237,0.6392221,0.10032354,0.0009789958,5.939982e-07,2.2408674e-11,5.2562008e-17,7.6658095e-24,6.951312e-32,1.0
1.85,0.0057271346,0.24352387,0.64383155,0.10583507,0.0010817156,6.874215e-07,2.716191e-11,6.673037e-17,1.0193234e-23,9.68125e-32,1.0
1.8666667,0.0052543012,0.23400511,0.64798105,0.11156443,0.0011943075,7.9493714e-07,3.2898496e-11,8.465352e-17,1.3543863e-23,1.3472953e-31,0.99999994
1.8833333,0.0048168446,0.22468771,0.6516622,0.1175147,0.0013176134,9.1856543e-07,3.9816143e-11,1.0730884e-16,1.7981895e-23,1.8735619e-31,0.99999994
1.9,0.0044124657,0.21557784,0.6548676,0.12368852,0.0014525533,1.0606223e-06,4.8152274e-11,1.3592536e-16,2.3856561e-23,2.603402e-31,1.0
