time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
1.35,0.0,0.65,0.35000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3666667,0.0,0.6333333,0.36666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3833333,0.0,0.6166667,0.38333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4,0.0,0.6,0.39999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4166666,0.0,0.5833334,0.41666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4333333,0.0,0.5666667,0.43333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.45,0.0,0.54999995,0.45000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4666667,0.0,0.5333333,0.4666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4833333,0.0,0.51666665,0.48333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5166667,0.0,0.48333335,0.51666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5333333,0.0,0.4666667,0.5333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.55,0.0,0.45000005,0.54999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5666667,0.0,0.43333328,0.5666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5833334,0.0,0.41666663,0.5833334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6,0.0,0.39999998,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6166667,0.0,0.38333333,0.6166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6333333,0.0,0.36666667,0.6333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
