Mode,BackFrameNum,BackWeight,MidFrameNum,MidWeight,FrontFrameNum,FrontWeight,TimeMs,Knob,ResponsePattern,StepNumber,Amplitude,Velocity,FunctionRatio,CameraSpeed
GaussOnlyFreeze,A,0.144339,B,0.665105,C,0.190556,3050.000,0.000,Velocity,1,0,1.000000,0.665105,1.000
GaussOnlyFreeze,A,0.137466,B,0.663447,C,0.199088,3066.667,0.000,Velocity,1,0,1.000000,0.663447,1.000
GaussOnlyFreeze,A,0.130826,B,0.661321,C,0.207853,3083.333,0.000,Velocity,1,0,1.000000,0.661321,1.000
GaussOnlyFreeze,A,0.124418,B,0.658732,C,0.216850,3100.000,0.000,Velocity,1,0,1.000000,0.658732,1.000
GaussOnlyFreeze,A,0.118240,B,0.655685,C,0.226075,3116.667,0.000,Velocity,1,0,1.000000,0.655685,1.000
GaussOnlyFreeze,A,0.112289,B,0.652187,C,0.235524,3133.333,0.000,Velocity,1,0,1.000000,0.652187,1.000
GaussOnlyFreeze,A,0.106561,B,0.648246,C,0.245194,3150.000,0.000,Velocity,1,0,1.000000,0.648246,1.000
GaussOnlyFreeze,A,0.101053,B,0.643869,C,0.255078,3166.667,0.000,Velocity,1,0,1.000000,0.643869,1.000
GaussOnlyFreeze,A,0.095761,B,0.639067,C,0.265172,3183.333,0.000,Velocity,1,0,1.000000,0.639067,1.000
GaussOnlyFreeze,A,0.090682,B,0.633848,C,0.275470,3200.000,0.000,Velocity,1,0,1.000000,0.633848,1.000
GaussOnlyFreeze,A,0.085812,B,0.628225,C,0.285963,3216.667,0.000,Velocity,1,0,1.000000,0.628225,1.000
GaussOnlyFreeze,A,0.081145,B,0.622210,C,0.296645,3233.333,0.000,Velocity,1,0,1.000000,0.622210,1.000
GaussOnlyFreeze,A,0.076678,B,0.615814,C,0.307508,3250.000,0.000,Velocity,1,0,1.000000,0.615814,1.000
GaussOnlyFreeze,A,0.072405,B,0.609052,C,0.318543,3266.667,0.000,Velocity,1,0,1.000000,0.609052,1.000
